user,date,cumulative_points
Pjotrullo,2026-06-19,250
Rado z Kolorado,2026-06-19,300
Fabio22,2026-06-19,275
Malpiszon67,2026-06-19,225
Bogi07,2026-06-19,180
peterradzi,2026-06-19,160

BECIKMASTER,2026-06-20,435
Wadhwus,2026-06-20,395
Bajler,2026-06-20,375
kamiszon,2026-06-20,375
Szymcio,2026-06-20,370
Underbeskidzie,2026-06-20,365
Arcik,2026-06-20,355
Lyssolini,2026-06-20,355
Fabio22,2026-06-20,350
mizi,2026-06-20,345
ChudyWNE,2026-06-20,345
Rado z Kolorado,2026-06-20,345
M-Malecki,2026-06-20,345
DaKoPL,2026-06-20,340
Gzybi,2026-06-20,330
Kepi,2026-06-20,325
Pjotrullo,2026-06-20,325
Przemek Z,2026-06-20,295
3ndr1u,2026-06-20,290
kowalik,2026-06-20,275
Malpiszon67,2026-06-20,245
Bogi07,2026-06-20,210
peterradzi,2026-06-20,185

BECIKMASTER,2026-06-21,485
Wadhwus,2026-06-21,450
kamiszon,2026-06-21,425
Szymcio,2026-06-21,410
Underbeskidzie,2026-06-21,410
Bajler,2026-06-21,405
ChudyWNE,2026-06-21,405
mizi,2026-06-21,400
M-Malecki,2026-06-21,400
Kepi,2026-06-21,395
Rado z Kolorado,2026-06-21,395
Fabio22,2026-06-21,390
Arcik,2026-06-21,390
Lyssolini,2026-06-21,390
DaKoPL,2026-06-21,375
Gzybi,2026-06-21,375
Pjotrullo,2026-06-21,370
3ndr1u,2026-06-21,325
Przemek Z,2026-06-21,325
kowalik,2026-06-21,315
Malpiszon67,2026-06-21,275
Bogi07,2026-06-21,250
peterradzi,2026-06-21,225

BECIKMASTER,2026-06-22,525
kamiszon,2026-06-22,470
Wadhwus,2026-06-22,470
ChudyWNE,2026-06-22,460
Underbeskidzie,2026-06-22,450
M-Malecki,2026-06-22,450
Szymcio,2026-06-22,445
mizi,2026-06-22,435
Rado z Kolorado,2026-06-22,435
Bajler,2026-06-22,430
Arcik,2026-06-22,430
Lyssolini,2026-06-22,430
Kepi,2026-06-22,420
Fabio22,2026-06-22,415
Pjotrullo,2026-06-22,415
Gzybi,2026-06-22,415
DaKoPL,2026-06-22,395
kowalik,2026-06-22,355
Przemek Z,2026-06-22,355
3ndr1u,2026-06-22,350
Bogi07,2026-06-22,330
Malpiszon67,2026-06-22,310
peterradzi,2026-06-22,250
